Class,Name
BT302,Doctrinal Theology
BV4832,Practical Theology
HB,Economic theory
HD570,"Industries, Land use, Labor"
HG387,Finance
HG388,Finance
PZ,Fiction
PL72,Turkic languages
PL74,Turkic languages
PL75,Turkic languages
PL78,Turkic languages
PN5,Literature (general)
PR85,English literature
PS92,American literature
PQ708,French prose
PQ779,French folk literature
PQ7655,Spanish literature
E17,America (general)
E45,North America
E165,United States (general)
E166,United States (general)
E168,United States (general)
E390,Van Buren’s administration
E435,Pierce’s administration
E440,Buchanan’s administration
E449,Slavery in the United States
E675,Grant’s administration
